sales_agent,product,account,deal_stage,engage_date,close_date,close_value
James Ascencio,GTX Plus Pro,Sonron,Won,11/17/2016,3/5/2017,4667
Marty Freudenburg,GTX Plus Basic,Finhigh,Won,11/17/2016,3/17/2017,903
Maureen Marcano,GTX Plus Basic,Finjob,Won,11/17/2016,3/13/2017,1180
Niesha Huffines,GTX Basic,Ron-tech,Won,11/17/2016,3/5/2017,487
Lajuana Vencill,MG Advanced,Stanredtax,Won,11/18/2016,3/4/2017,3180
Darcel Schlecht,GTXPro,Funholding,Lost,11/19/2016,3/17/2017,0
Darcel Schlecht,MG Advanced,Gogozoom,Won,11/19/2016,3/18/2017,3563
Boris Faz,GTXPro,Opentech,Won,11/20/2016,3/23/2017,4704
Donn Cantrell,GTX Plus Pro,Silis,Won,11/20/2016,3/14/2017,5585
Elease Gluck,GTK 500,Zoomit,Won,11/20/2016,3/9/2017,25897
Kami Bicknell,GTX Plus Basic,Goodsilron,Won,11/20/2016,3/3/2017,1207
Lajuana Vencill,MG Advanced,Cancity,Lost,11/20/2016,3/8/2017,0
Lajuana Vencill,GTX Basic,Rangreen,Won,11/20/2016,3/4/2017,559
Niesha Huffines,GTX Plus Basic,dambase,Won,11/20/2016,3/9/2017,1033
Donn Cantrell,GTX Basic,Kan-code,Won,11/21/2016,3/21/2017,462
Hayden Neloms,MG Advanced,Nam-zim,Lost,11/21/2016,3/1/2017,0
Kary Hendrixson,GTXPro,Y-corporation,Won,11/21/2016,3/14/2017,5539
Lajuana Vencill,MG Advanced,Ron-tech,Won,11/21/2016,3/15/2017,3573
Marty Freudenburg,GTXPro,Conecom,Won,11/21/2016,3/1/2017,4926
Zane Levy,GTX Plus Basic,Sunnamplex,Lost,11/21/2016,3/17/2017,0
Corliss Cosme,MG Special,Bioplex,Won,11/22/2016,3/4/2017,62
Darcel Schlecht,GTXPro,Gogozoom,Won,11/22/2016,3/14/2017,4359
Kami Bicknell,GTX Basic,Plusstrip,Won,11/22/2016,3/31/2017,566
Marty Freudenburg,GTX Basic,Toughzap,Won,11/22/2016,3/3/2017,508
Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,11/22/2016,3/20/2017,0
Versie Hillebrand,MG Special,Codehow,Won,11/22/2016,3/11/2017,51
Vicki Laflamme,GTXPro,Dalttechnology,Won,11/22/2016,3/5/2017,4899
Corliss Cosme,GTX Plus Pro,Ontomedia,Won,11/23/2016,3/3/2017,5790
Donn Cantrell,MG Special,Kinnamplus,Lost,11/23/2016,3/30/2017,0
Gladys Colclough,GTXPro,Codehow,Won,11/23/2016,3/3/2017,4438
Gladys Colclough,MG Advanced,Finhigh,Won,11/23/2016,3/17/2017,2972
Markita Hansen,GTX Basic,Y-corporation,Won,11/23/2016,3/1/2017,523
Anna Snelling,MG Advanced,Statholdings,Won,11/24/2016,3/25/2017,3647
Cassey Cress,MG Advanced,Umbrella Corporation,Won,11/24/2016,3/1/2017,4200
Kami Bicknell,GTX Plus Basic,Faxquote,Won,11/24/2016,3/28/2017,1059
Marty Freudenburg,GTX Plus Basic,Codehow,Lost,11/24/2016,3/5/2017,0
Versie Hillebrand,MG Special,Dontechi,Won,11/24/2016,3/2/2017,57
Vicki Laflamme,MG Advanced,Konex,Won,11/24/2016,3/27/2017,3671
Anna Snelling,MG Special,Treequote,Won,11/25/2016,3/1/2017,58
Cecily Lampkin,MG Advanced,Treequote,Won,11/25/2016,3/6/2017,3956
Corliss Cosme,GTX Plus Pro,Betasoloin,Won,11/25/2016,3/1/2017,5964
Corliss Cosme,GTXPro,Betasoloin,Won,11/25/2016,3/6/2017,4570
Darcel Schlecht,MG Special,Domzoom,Won,11/25/2016,3/27/2017,49
Violet Mclelland,MG Special,Donquadtech,Won,11/25/2016,3/6/2017,65
Anna Snelling,MG Special,Domzoom,Lost,11/26/2016,3/27/2017,0
Darcel Schlecht,GTXPro,Finhigh,Won,11/26/2016,3/8/2017,4739
Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,11/26/2016,3/21/2017,1080
Reed Clapper,MG Special,Plussunin,Won,11/26/2016,3/12/2017,57
Garret Kinder,GTX Basic,Konex,Won,11/27/2016,3/16/2017,469
Kary Hendrixson,GTX Basic,Condax,Won,11/27/2016,3/3/2017,532
Rosalina Dieter,GTX Basic,Konex,Won,11/27/2016,3/26/2017,538
Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,11/27/2016,3/21/2017,4829
Zane Levy,GTX Plus Pro,Doncon,Won,11/27/2016,3/11/2017,5370
Zane Levy,GTX Plus Pro,Hatfan,Won,11/27/2016,3/21/2017,6499
Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/28/2016,3/6/2017,1161
Kary Hendrixson,GTX Basic,Scotfind,Won,11/28/2016,3/26/2017,576
Maureen Marcano,GTX Plus Basic,Hatfan,Won,11/28/2016,3/19/2017,979
Versie Hillebrand,MG Special,Stanredtax,Won,11/28/2016,3/7/2017,43
Gladys Colclough,MG Special,Scottech,Won,11/29/2016,3/7/2017,57
Lajuana Vencill,MG Special,Ron-tech,Lost,11/29/2016,3/28/2017,0
Lajuana Vencill,GTX Plus Basic,Funholding,Won,11/29/2016,3/12/2017,948
Wilburn Farren,MG Advanced,Plussunin,Won,11/29/2016,3/10/2017,3012
Cassey Cress,MG Advanced,Zotware,Won,11/30/2016,3/15/2017,3665
Violet Mclelland,GTX Basic,Gekko & Co,Won,11/30/2016,3/24/2017,564
Anna Snelling,GTX Plus Basic,dambase,Lost,12/1/2016,3/6/2017,0
Cassey Cress,MG Advanced,Initech,Won,12/1/2016,3/22/2017,3463
Corliss Cosme,GTX Basic,Gekko & Co,Won,12/1/2016,3/26/2017,513
Corliss Cosme,GTX Basic,Konex,Won,12/1/2016,3/28/2017,590
Darcel Schlecht,GTXPro,Dontechi,Won,12/1/2016,3/30/2017,4511
Lajuana Vencill,MG Advanced,Finhigh,Lost,12/1/2016,3/2/2017,0
Niesha Huffines,GTX Basic,Cancity,Won,12/1/2016,3/26/2017,546
Vicki Laflamme,MG Special,Y-corporation,Won,12/1/2016,3/5/2017,46
Darcel Schlecht,GTXPro,Ron-tech,Won,12/2/2016,3/9/2017,4891
Hayden Neloms,GTX Plus Basic,Golddex,Won,12/2/2016,3/3/2017,1040
Hayden Neloms,GTX Plus Basic,Sonron,Won,12/2/2016,3/4/2017,1108
Hayden Neloms,MG Special,Nam-zim,Won,12/2/2016,3/4/2017,59
Jonathan Berthelot,GTXPro,Statholdings,Won,12/2/2016,3/30/2017,5406
Kary Hendrixson,GTX Basic,Cheers,Won,12/2/2016,3/20/2017,515
Moses Frase,GTX Basic,Treequote,Won,12/2/2016,3/6/2017,583
Versie Hillebrand,MG Special,Funholding,Won,12/2/2016,3/14/2017,54
Vicki Laflamme,MG Special,Plusstrip,Won,12/2/2016,3/27/2017,60
Darcel Schlecht,GTX Basic,Dontechi,Lost,12/3/2016,3/12/2017,0
Darcel Schlecht,GTXPro,Funholding,Lost,12/3/2016,3/19/2017,0
Darcel Schlecht,GTX Basic,Globex Corporation,Won,12/3/2016,3/23/2017,516
Darcel Schlecht,GTXPro,Rangreen,Won,12/3/2016,3/22/2017,4829
Moses Frase,GTX Plus Basic,Dontechi,Lost,12/3/2016,3/17/2017,0
Reed Clapper,GTX Plus Basic,Donquadtech,Won,12/3/2016,3/2/2017,950
Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,12/3/2016,3/9/2017,0
Corliss Cosme,GTX Basic,Initech,Won,12/4/2016,3/20/2017,513
Darcel Schlecht,GTXPro,Condax,Lost,12/4/2016,3/9/2017,0
Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,12/4/2016,3/12/2017,5522
Gladys Colclough,MG Special,Cancity,Won,12/4/2016,3/9/2017,56
James Ascencio,GTXPro,Doncon,Won,12/4/2016,3/8/2017,5673
Kami Bicknell,GTX Basic,Xx-holding,Won,12/4/2016,3/10/2017,598
Marty Freudenburg,GTX Plus Pro,Rangreen,Won,12/4/2016,3/16/2017,5787
Maureen Marcano,GTX Plus Basic,Singletechno,Won,12/4/2016,3/8/2017,1070
Boris Faz,MG Advanced,Donquadtech,Won,12/5/2016,3/14/2017,3677
Cassey Cress,GTX Plus Pro,Ontomedia,Won,12/5/2016,3/30/2017,5425
Donn Cantrell,MG Advanced,Yearin,Won,12/5/2016,3/23/2017,3415
Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,12/5/2016,3/21/2017,891
Lajuana Vencill,GTX Basic,Codehow,Won,12/6/2016,3/12/2017,609
Markita Hansen,MG Special,Plusstrip,Won,12/6/2016,3/16/2017,54
Zane Levy,GTX Plus Basic,Labdrill,Won,12/6/2016,3/9/2017,1049
Cassey Cress,GTX Plus Basic,Gekko & Co,Won,12/7/2016,3/7/2017,1152
Daniell Hammack,MG Special,Plussunin,Lost,12/7/2016,3/20/2017,0
Daniell Hammack,GTXPro,Umbrella Corporation,Won,12/7/2016,3/28/2017,4799
Gladys Colclough,MG Special,dambase,Won,12/7/2016,3/12/2017,51
Hayden Neloms,MG Advanced,J-Texon,Won,12/7/2016,3/3/2017,3426
Jonathan Berthelot,MG Special,Rangreen,Won,12/7/2016,3/11/2017,51
Kami Bicknell,GTX Basic,Finjob,Won,12/7/2016,3/20/2017,564
Cecily Lampkin,GTX Plus Pro,Isdom,Won,12/8/2016,3/1/2017,5882
Donn Cantrell,GTXPro,Plussunin,Won,12/8/2016,3/20/2017,5059
Kami Bicknell,MG Advanced,Singletechno,Won,12/8/2016,3/11/2017,3388
Markita Hansen,GTX Plus Pro,Zoomit,Won,12/8/2016,3/10/2017,5410
Reed Clapper,GTX Plus Basic,Zathunicon,Won,12/8/2016,3/28/2017,978
Vicki Laflamme,MG Special,Scotfind,Won,12/8/2016,3/26/2017,54
Anna Snelling,MG Special,Betatech,Lost,12/9/2016,3/22/2017,0
Cassey Cress,GTX Basic,Bubba Gump,Won,12/9/2016,3/14/2017,549
Corliss Cosme,GTX Plus Basic,Mathtouch,Won,12/9/2016,3/14/2017,1034
Donn Cantrell,GTXPro,Vehement Capital Partners,Won,12/9/2016,3/3/2017,4998
Donn Cantrell,MG Advanced,Ontomedia,Won,12/9/2016,3/28/2017,3421
Kary Hendrixson,GTX Plus Pro,Doncon,Won,12/9/2016,3/4/2017,5425
Vicki Laflamme,MG Special,Dalttechnology,Won,12/9/2016,3/15/2017,55
Violet Mclelland,MG Advanced,Silis,Won,12/9/2016,3/14/2017,3558
Kami Bicknell,GTXPro,Blackzim,Won,12/10/2016,3/22/2017,4839
Markita Hansen,MG Special,Hottechi,Won,12/10/2016,3/25/2017,47
Maureen Marcano,GTX Plus Basic,Fasehatice,Won,12/10/2016,3/24/2017,1007
Niesha Huffines,MG Special,Inity,Won,12/10/2016,3/24/2017,48
Versie Hillebrand,MG Special,Treequote,Won,12/10/2016,3/7/2017,49
Violet Mclelland,GTX Basic,Mathtouch,Won,12/10/2016,3/18/2017,504
Jonathan Berthelot,GTX Basic,Finhigh,Won,12/11/2016,3/21/2017,543
Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,12/11/2016,3/18/2017,0
Kary Hendrixson,GTXPro,Fasehatice,Won,12/11/2016,3/28/2017,5149
Lajuana Vencill,GTX Basic,Treequote,Lost,12/11/2016,3/9/2017,0
Markita Hansen,GTX Plus Basic,Blackzim,Won,12/11/2016,3/11/2017,1043
Cassey Cress,GTX Plus Pro,Sumace,Lost,12/12/2016,3/9/2017,0
James Ascencio,GTX Basic,Condax,Won,12/12/2016,3/29/2017,437
Rosie Papadopoulos,GTXPro,Kinnamplus,Won,12/12/2016,3/11/2017,4465
Vicki Laflamme,GTX Basic,Konex,Won,12/12/2016,3/18/2017,443
Violet Mclelland,MG Special,Sumace,Lost,12/12/2016,3/23/2017,0
Darcel Schlecht,GTX Plus Pro,Betatech,Won,12/13/2016,3/20/2017,4278
Garret Kinder,MG Special,Kinnamplus,Won,12/13/2016,3/6/2017,41
Jonathan Berthelot,GTX Basic,Isdom,Won,12/13/2016,3/28/2017,519
Maureen Marcano,GTX Basic,Kan-code,Won,12/13/2016,3/4/2017,524
Zane Levy,GTX Basic,Singletechno,Won,12/13/2016,3/27/2017,552
Gladys Colclough,GTX Plus Basic,Konmatfix,Won,12/14/2016,3/2/2017,970
Kary Hendrixson,GTX Plus Basic,Hatfan,Won,12/14/2016,3/13/2017,1046
Kary Hendrixson,GTX Plus Basic,Sunnamplex,Won,12/14/2016,3/14/2017,988
Lajuana Vencill,GTX Basic,Codehow,Won,12/14/2016,3/22/2017,547
Maureen Marcano,GTXPro,Singletechno,Lost,12/14/2016,3/4/2017,0
Versie Hillebrand,MG Special,Isdom,Won,12/14/2016,3/31/2017,54
Violet Mclelland,MG Special,Silis,Won,12/14/2016,3/20/2017,57
Violet Mclelland,MG Special,Yearin,Won,12/14/2016,3/18/2017,55
Anna Snelling,GTX Plus Pro,Stanredtax,Won,12/15/2016,3/15/2017,5765
Daniell Hammack,GTX Basic,Bioplex,Won,12/15/2016,3/16/2017,639
Kary Hendrixson,GTXPro,Labdrill,Won,12/15/2016,3/15/2017,5100
Vicki Laflamme,GTXPro,Fasehatice,Won,12/15/2016,3/7/2017,4906
Donn Cantrell,GTX Plus Basic,Opentech,Won,12/16/2016,3/7/2017,1037
James Ascencio,GTX Basic,Plexzap,Won,12/16/2016,3/15/2017,537
Kary Hendrixson,GTXPro,Hatfan,Won,12/16/2016,3/9/2017,4694
Lajuana Vencill,GTX Basic,Konmatfix,Won,12/16/2016,3/24/2017,560
Moses Frase,GTX Basic,dambase,Won,12/16/2016,3/13/2017,589
Reed Clapper,GTX Basic,Mathtouch,Won,12/16/2016,3/14/2017,493
Versie Hillebrand,MG Special,Betatech,Won,12/16/2016,3/8/2017,50
Vicki Laflamme,GTX Basic,Y-corporation,Won,12/16/2016,3/28/2017,492
Corliss Cosme,GTX Plus Basic,Konex,Won,12/17/2016,3/13/2017,1255
Darcel Schlecht,GTX Basic,Statholdings,Won,12/17/2016,3/4/2017,463
Donn Cantrell,GTX Plus Basic,Initech,Lost,12/17/2016,3/27/2017,0
Donn Cantrell,GTX Basic,Zencorporation,Won,12/17/2016,3/12/2017,605
Hayden Neloms,GTX Plus Basic,Fasehatice,Won,12/17/2016,3/20/2017,1315
Lajuana Vencill,GTX Basic,Zumgoity,Won,12/17/2016,3/2/2017,559
Moses Frase,GTX Basic,Rundofase,Won,12/17/2016,3/28/2017,557
Rosie Papadopoulos,MG Special,Vehement Capital Partners,Won,12/17/2016,3/2/2017,48
Versie Hillebrand,GTX Plus Pro,Isdom,Won,12/17/2016,3/25/2017,6282
Anna Snelling,MG Advanced,Isdom,Won,12/18/2016,3/2/2017,3246
Darcel Schlecht,GTX Basic,Finhigh,Won,12/18/2016,3/14/2017,514
Donn Cantrell,GTX Plus Basic,Silis,Won,12/18/2016,3/15/2017,1132
Garret Kinder,GTX Plus Pro,Silis,Won,12/18/2016,3/21/2017,5918
Kary Hendrixson,GTXPro,Hottechi,Lost,12/18/2016,3/18/2017,0
Maureen Marcano,MG Special,Kan-code,Lost,12/18/2016,3/14/2017,0
Rosalina Dieter,MG Special,Hatfan,Lost,12/18/2016,3/13/2017,0
Versie Hillebrand,MG Advanced,Gogozoom,Won,12/18/2016,3/24/2017,2955
Vicki Laflamme,GTXPro,Fasehatice,Won,12/18/2016,3/21/2017,3742
Violet Mclelland,MG Special,Initech,Won,12/18/2016,3/14/2017,64
Wilburn Farren,MG Advanced,Initech,Lost,12/18/2016,3/27/2017,0
Elease Gluck,GTX Plus Basic,Scotfind,Won,12/19/2016,3/18/2017,1164
Elease Gluck,MG Special,Singletechno,Won,12/19/2016,3/7/2017,65
Gladys Colclough,GTX Plus Basic,Cancity,Lost,12/19/2016,3/7/2017,0
Kami Bicknell,GTX Basic,Groovestreet,Won,12/19/2016,3/16/2017,441
Marty Freudenburg,GTX Plus Basic,Finhigh,Lost,12/19/2016,3/12/2017,0
Vicki Laflamme,GTXPro,Hatfan,Won,12/19/2016,3/16/2017,4907
Anna Snelling,MG Advanced,Isdom,Lost,12/20/2016,3/1/2017,0
Darcel Schlecht,MG Advanced,Codehow,Won,12/20/2016,3/25/2017,3269
Donn Cantrell,GTX Basic,Kinnamplus,Won,12/20/2016,3/12/2017,579
Gladys Colclough,GTX Basic,Isdom,Lost,12/20/2016,3/25/2017,0
Kary Hendrixson,GTX Basic,Dalttechnology,Lost,12/20/2016,3/7/2017,0
Kary Hendrixson,MG Special,Xx-holding,Won,12/20/2016,3/31/2017,51
Markita Hansen,MG Special,Faxquote,Won,12/20/2016,3/8/2017,64
Rosie Papadopoulos,MG Special,Donware,Won,12/20/2016,3/8/2017,60
Cassey Cress,GTX Plus Basic,Ganjaflex,Won,12/21/2016,3/27/2017,1186
Corliss Cosme,MG Advanced,Yearin,Won,12/21/2016,3/9/2017,3577
Daniell Hammack,GTX Plus Basic,Donquadtech,Won,12/21/2016,3/7/2017,1020
Hayden Neloms,MG Special,Zoomit,Won,12/21/2016,3/23/2017,53
Jonathan Berthelot,GTX Basic,Rundofase,Lost,12/21/2016,3/10/2017,0
Kary Hendrixson,GTX Basic,Faxquote,Lost,12/21/2016,3/28/2017,0
Kary Hendrixson,GTXPro,Sunnamplex,Won,12/21/2016,3/8/2017,4719
Moses Frase,GTX Basic,Codehow,Won,12/21/2016,3/22/2017,546
Niesha Huffines,GTX Plus Basic,Domzoom,Won,12/21/2016,3/21/2017,1212
Vicki Laflamme,GTX Basic,Sunnamplex,Lost,12/21/2016,3/8/2017,0
Anna Snelling,GTX Plus Pro,Bioholding,Lost,12/22/2016,3/27/2017,0
Gladys Colclough,GTX Plus Pro,Dontechi,Won,12/22/2016,3/14/2017,5533
Kami Bicknell,MG Advanced,Finjob,Won,12/22/2016,3/1/2017,3295
Rosalina Dieter,MG Special,Finjob,Won,12/22/2016,3/31/2017,45
Violet Mclelland,MG Special,Bioplex,Won,12/22/2016,3/4/2017,56
Darcel Schlecht,GTXPro,Funholding,Won,12/23/2016,3/20/2017,4247
Gladys Colclough,MG Advanced,Isdom,Won,12/23/2016,3/13/2017,3440
James Ascencio,GTXPro,Plexzap,Won,12/23/2016,3/2/2017,5040
Jonathan Berthelot,GTX Basic,Cancity,Won,12/23/2016,3/12/2017,469
Moses Frase,MG Special,Isdom,Won,12/23/2016,3/7/2017,58
Cecily Lampkin,MG Advanced,Isdom,Won,12/24/2016,3/16/2017,2955
Corliss Cosme,GTX Plus Pro,Condax,Won,12/24/2016,3/26/2017,5228
Darcel Schlecht,MG Advanced,Toughzap,Won,12/24/2016,3/14/2017,3358
Elease Gluck,GTX Plus Pro,Green-Plus,Lost,12/24/2016,3/29/2017,0
Jonathan Berthelot,GTX Basic,Codehow,Won,12/24/2016,3/31/2017,517
Moses Frase,GTX Basic,Dontechi,Won,12/24/2016,3/3/2017,615
Niesha Huffines,GTX Basic,Domzoom,Lost,12/24/2016,3/10/2017,0
Versie Hillebrand,MG Special,Condax,Won,12/24/2016,3/8/2017,62
Darcel Schlecht,GTX Plus Pro,Isdom,Won,12/25/2016,3/13/2017,4711
Donn Cantrell,GTXPro,Kinnamplus,Lost,12/25/2016,3/23/2017,0
Garret Kinder,GTX Basic,Yearin,Won,12/25/2016,3/30/2017,510
Gladys Colclough,GTXPro,Warephase,Won,12/25/2016,3/25/2017,4891
Hayden Neloms,GTX Plus Basic,Green-Plus,Won,12/25/2016,3/17/2017,926
Lajuana Vencill,MG Special,Betatech,Won,12/25/2016,3/10/2017,56
Violet Mclelland,MG Special,Ontomedia,Won,12/25/2016,3/5/2017,47
Darcel Schlecht,GTX Basic,Rangreen,Lost,12/26/2016,3/23/2017,0
James Ascencio,GTX Plus Pro,Nam-zim,Won,12/26/2016,3/10/2017,6490
Niesha Huffines,MG Advanced,Treequote,Won,12/26/2016,3/2/2017,3841
Kary Hendrixson,GTX Plus Pro,Faxquote,Won,12/27/2016,3/15/2017,5256
Markita Hansen,MG Special,Kan-code,Lost,12/27/2016,3/28/2017,0
Markita Hansen,MG Advanced,Sonron,Lost,12/27/2016,3/25/2017,0
Anna Snelling,GTX Basic,Conecom,Won,12/28/2016,3/1/2017,625
Darcel Schlecht,GTXPro,Warephase,Lost,12/28/2016,3/16/2017,0
Darcel Schlecht,GTXPro,Conecom,Won,12/28/2016,3/22/2017,3952
Kary Hendrixson,GTX Plus Pro,Konex,Won,12/28/2016,3/13/2017,5515
Reed Clapper,MG Special,Vehement Capital Partners,Won,12/28/2016,3/16/2017,57
Versie Hillebrand,MG Special,Konmatfix,Won,12/28/2016,3/28/2017,51
Vicki Laflamme,MG Advanced,Fasehatice,Won,12/28/2016,3/13/2017,3803
Anna Snelling,GTX Plus Pro,Rundofase,Won,12/29/2016,3/27/2017,5459
Anna Snelling,MG Advanced,Stanredtax,Won,12/29/2016,3/23/2017,4148
Corliss Cosme,GTX Plus Pro,Ganjaflex,Won,12/29/2016,3/23/2017,5002
Corliss Cosme,MG Advanced,Gekko & Co,Won,12/29/2016,3/3/2017,3351
Gladys Colclough,GTX Basic,Domzoom,Won,12/29/2016,3/19/2017,571
James Ascencio,GTX Basic,Goodsilron,Won,12/29/2016,3/10/2017,601
Markita Hansen,GTX Basic,Zoomit,Won,12/29/2016,3/13/2017,576
Marty Freudenburg,MG Special,Funholding,Won,12/29/2016,3/3/2017,52
Maureen Marcano,GTX Plus Basic,Fasehatice,Won,12/29/2016,3/13/2017,1185
Reed Clapper,GTX Plus Basic,Gekko & Co,Lost,12/29/2016,3/28/2017,0
Rosalina Dieter,MG Special,Plexzap,Won,12/29/2016,3/14/2017,56
Violet Mclelland,MG Special,Opentech,Won,12/29/2016,3/29/2017,54
Zane Levy,GTXPro,Xx-holding,Won,12/29/2016,3/13/2017,4818
Anna Snelling,GTX Plus Pro,Codehow,Won,1/1/2017,3/1/2017,5087
Daniell Hammack,GTX Plus Basic,Opentech,Won,1/1/2017,3/19/2017,1116
Darcel Schlecht,GTX Basic,Gogozoom,Won,1/1/2017,3/20/2017,510
Jonathan Berthelot,GTX Basic,Streethex,Won,1/1/2017,3/16/2017,565
Kami Bicknell,GTX Basic,Finjob,Won,1/1/2017,3/26/2017,633
Reed Clapper,MG Advanced,Xx-zobam,Won,1/1/2017,3/29/2017,3962
Vicki Laflamme,MG Advanced,Y-corporation,Won,1/1/2017,3/22/2017,3672
Zane Levy,GTXPro,Goodsilron,Won,1/1/2017,3/18/2017,4586
Anna Snelling,MG Special,Hottechi,Won,1/2/2017,3/2/2017,60
Jonathan Berthelot,GTX Basic,Dontechi,Won,1/2/2017,5/4/2017,572
Kary Hendrixson,GTX Basic,Goodsilron,Won,1/2/2017,3/1/2017,550
Kary Hendrixson,GTXPro,Sonron,Won,1/2/2017,3/17/2017,4125
Marty Freudenburg,MG Advanced,Zumgoity,Won,1/2/2017,3/10/2017,3647
Moses Frase,GTX Basic,Dontechi,Won,1/2/2017,3/21/2017,573
Violet Mclelland,GTX Basic,Zencorporation,Won,1/2/2017,3/29/2017,542
Cassey Cress,MG Advanced,Donware,Won,1/3/2017,3/12/2017,3479
Daniell Hammack,MG Advanced,Ganjaflex,Lost,1/3/2017,3/22/2017,0
Darcel Schlecht,GTX Plus Basic,Stanredtax,Won,1/3/2017,3/21/2017,1012
James Ascencio,GTX Plus Basic,Doncon,Won,1/3/2017,3/6/2017,990
James Ascencio,GTXPro,Sunnamplex,Won,1/3/2017,3/18/2017,4374
Kary Hendrixson,GTX Basic,Finjob,Lost,1/3/2017,3/17/2017,0
Kary Hendrixson,GTX Plus Basic,Xx-holding,Won,1/3/2017,3/30/2017,1054
Vicki Laflamme,MG Special,Scotfind,Won,1/3/2017,3/15/2017,55
Violet Mclelland,MG Special,Ganjaflex,Lost,1/3/2017,3/5/2017,0
Boris Faz,GTX Plus Basic,Iselectrics,Won,1/4/2017,3/25/2017,1073
